data_adi,data_detay,original_week_period,original_date_text,date
Adana,53.22,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Adıyaman,140.88,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Afyon,47.63,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Ağrı,24.47,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Aksaray,140.89,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Amasya,183.91,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Ankara,54.83,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Antalya,82.05,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Ardahan,70.71,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Artvin,109.14,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Aydın,49.42,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Balıkesir,172.46,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Bartın,75.89,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Batman,8.87,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Bayburt,39.07,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Bilecik,65.38,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Bingöl,17.04,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Bitlis,29.06,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Bolu,68.3,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Burdur,105.21,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Bursa,58.55,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Çanakkale,107.29,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Çankırı,22.87,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Çorum,44.71,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Denizli,38.81,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Diyarbakır,19.85,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Düzce,55.6,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Edirne,180.01,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Elazığ,35.72,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Erzincan,31.14,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Erzurum,52.22,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Eskişehir,48.27,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Gaziantep,44.4,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Giresun,282.14,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Gümüşhane,151.73,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Hakkari,5.35,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Hatay,61.95,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
